Rank,Title,Year of release,Number of Episodes,Rating
#1,Move to Heaven,2021,10,9.2
#2,Twinkling Watermelon,2023,16,9.2
#3,Moving,2023,20,9.1
#4,The Trauma Code: Heroes on Call ,2025,8,9.1
#5,Flower of Evil,2020,16,9.1
#6,Hospital Playlist,2020,12,9.1
#7,Hospital Playlist 2,2021,12,9.1
#8,My Mister,2018,16,9.1
#9,Reply 1988,2015,20,9.1
#10,Weak Hero Class 1,2022,8,9.1
#11,Prison Playbook,2017,16,9.1
#12,Lovely Runner,2024,16,9
#13,Alchemy of Souls,2022,20,9
#14,Study Group,2025,10,9
#15,Extraordinary Attorney Woo,2022,16,9
#16,Mr. Queen,2020,20,9
#17,Mother,2018,16,9
#18,It's Okay to Not Be Okay,2020,16,9
#19,Crash Landing on You,2019,16,9
#20,Vincenzo,2021,20,9
#21,Navillera,2021,12,9
#22,Signal,2016,16,9
#23,Mr. Sunshine,2018,24,8.9
#24,Happiness,2021,12,8.9
#25,Kingdom: Season 2,2020,6,8.9
#26,The Good Bad Mother,2023,14,8.9
#27,The Glory,2022,8,8.9
#28,SKY Castle,2018,20,8.9
#29,Tomorrow,2022,16,8.9
#30,Healer,2014,20,8.9
#31,Stranger,2017,16,8.9
#32,Twenty-Five Twenty-One,2022,16,8.8
#33,Tale of the Nine-Tailed 1938,2023,12,8.8
#34,The Red Sleeve,2021,17,8.8
#35,Goblin,2016,16,8.8
#36,The Uncanny Counter,2020,16,8.8
#37,Mouse,2021,20,8.7
#38,Kingdom,2019,6,8.8
#39,Weightlifting Fairy Kim Bok Joo,2016,16,8.8
#40,D.P.,2021,6,8.8
#41,The Devil Judge,2021,16,8.8
#42,The Penthouse,2020,21,8.8
#43,Youth of May,2021,12,8.8
#44,Taxi Driver,2021,16,8.8
#45,Life on Mars,2018,16,8.8
#46,A Shop for Killers,2024,8,8.8
#47,Beyond Evil,2021,16,8.8
#48,Racket Boys,2021,16,8.8
#49,Hometown Cha-Cha-Cha,2021,16,8.8
#50,Six Flying Dragons,2015,50,8.8
#51,The Penthouse 2,2021,13,8.8
#52,Our Beloved Summer,2021,16,8.7
#53,The Guest,2018,16,8.8
#54,Dear My Friends,2016,16,8.7
#55,While You Were Sleeping,2017,32,8.7
#56,Chicago Typewriter,2017,16,8.7
#57,18 Again,2020,16,8.7
#58,Flex X Cop,2024,16,8.7
#59,Arthdal Chronicles Part 2,2019,6,8.7
#60,Arthdal Chronicles Part 3,2019,6,8.7
#61,Through the Darkness,2022,12,8.7
#62,Dr. Romantic 2,2020,16,8.7
#63,Defendant,2017,18,8.7
#64,Our Blues,2022,20,8.7
#65,Sweet Home,2020,10,8.7
#66,"Kill Me, Heal Me",2015,20,8.7
#67,Moon Lovers,2016,20,8.7
#68,A Business Proposal,2022,12,8.7
#69,Misaeng,2014,20,8.7
#70,Strong Woman Do Bong Soon,2017,16,8.7
#71,The Fiery Priest,2019,40,8.7
#72,Bloodhounds ,2023,8,8.7
#73,My Name,2021,8,8.7
#74,Hotel del Luna,2019,16,8.7
#75,Begins Youth,2024,12,8.7
#76,Hot Stove League,2019,16,8.7
#77,Dr. Romantic,2016,20,8.7
#78,Descendants of the Sun,2016,16,8.7
#79,Law School,2021,16,8.7
#80,Strangers from Hell,2019,10,8.7
#81,Live,2018,18,8.7
#82,Tunnel,2017,16,8.7
#83,My Liberation Notes,2022,16,8.6
#84,Partners for Justice 2,2019,32,8.6
#85,Jewel in the Palace,2003,54,8.6
#86,"It's Okay, That's Love",2014,16,8.6
#87,Love Scout,2025,12,8.6
#88,Little Women,2022,12,8.6
#89,Ghost Doctor,2022,16,8.6
#90,Eulachacha Waikiki,2018,20,8.6
#91,The Bridal Mask,2012,28,8.6
#92,Revenant ,2023,12,8.6
#93,Children of Nobody,2018,32,8.6
#94,Good Manager,2017,20,8.6
#95,The King of Pigs,2022,12,8.6
#96,Big Mouth,2022,16,8.6
#97,Go Back Couple,2017,12,8.6
#98,Empress Ki,2013,51,8.6
#99,My Father is Strange,2017,52,8.6
#100,High School Return of a Gangster ,2024,8,8.6
#101,Once Again,2020,100,8.6
#102,Missing,2020,12,8.6
#103,Stranger 2,2020,16,8.6
#104,Designated Survivor,2019,16,8.6
#105,Juvenile Justice,2022,10,8.6
#106,Cruel City,2013,20,8.6
#107,My Perfect Stranger ,2023,16,8.6
#108,My Love from the Star,2013,21,8.6
#109,Mystic Pop-Up Bar,2020,12,8.6
#110,Age of Youth,2016,12,8.6
#111,Just Between Lovers,2017,16,8.6
#112,Save Me,2017,16,8.6
#113,Bad and Crazy,2021,12,8.6
#114,365,2020,24,8.6
#115,The Master's Sun,2013,17,8.6
#116,Avengers Social Club,2017,12,8.6
#117,Rebel,2017,30,8.5
#118,Chief Detective 1958,2024,10,8.5
#119,Nobody Knows,2020,16,8.5
#120,Bad Guys,2014,11,8.5
#121,Beautiful World,2019,16,8.5
#122,Marry My Husband,2024,16,8.5
#123,Arthdal Chronicles Part 1,2019,6,8.5
#124,Kairos,2020,16,8.5
#125,I Hear Your Voice,2013,18,8.5
#126,What's Wrong with Secretary Kim,2018,16,8.5
#127,Vagabond,2019,16,8.5
#128,One Ordinary Day,2021,8,8.5
#129,Reply 1997,2012,16,8.5
#130,Doctor John,2019,32,8.5
#131,"Hi Bye, Mama!",2020,16,8.5
#132,Voice,2017,16,8.5
#133,Fight For My Way,2017,16,8.5
#134,Squid Game,2021,9,8.5
#135,W,2016,16,8.5
#136,Queen Seon Duk,2009,62,8.5
#137,Mad for Each Other,2021,13,8.5
#138,Dali and the Cocky Prince,2021,16,8.5
#139,Thirty But Seventeen,2018,32,8.5
#140,When the Camellia Blooms,2019,40,8.5
#141,Be Melodramatic,2019,16,8.5
#142,Good Partner,2024,16,8.5
#143,Itaewon Class,2020,16,8.5
#144,Snowdrop,2021,16,8.5
#145,Circle,2017,12,8.5
#146,Because This Is My First Life,2017,16,8.5
#147,The Princess's Man,2011,24,8.5
#148,Blind,2022,16,8.5
#149,Two Weeks,2013,16,8.5
#150,"Work Later, Drink Now",2021,12,8.5
#151,Dong Yi,2010,60,8.5
#152,Gaus Electronics,2022,12,8.5
#153,Angel's Last Mission: Love,2019,32,8.5
#154,The World of the Married,2020,16,8.5
#155,Pyramid Game ,2024,10,8.5
#156,All of Us Are Dead,2022,12,8.5
#157,Extracurricular,2020,10,8.5
#158,Yumi's Cells,2021,14,8.5
#159,Lost,2021,16,8.4
#160,The Atypical Family,2024,12,8.4
#161,Queen In Hyun's Man,2012,16,8.4
#162,One Dollar Lawyer,2022,12,8.4
#163,If You Wish Upon Me,2022,16,8.4
#164,I'm Not a Robot,2017,32,8.4
#165,Memorist,2020,16,8.4
#166,Voice 2,2018,12,8.4
#167,Doom at Your Service,2021,16,8.4
#168,Duel,2017,16,8.4
#169,Search: WWW,2019,16,8.4
#170,"From Now On, Showtime!",2022,16,8.4
#171,Hello Monster,2015,16,8.4
#172,Parasyte: The Grey,2024,6,8.5
#173,Moon Embracing the Sun,2012,20,8.4
#174,Train,2020,12,8.4
#175,Sh**ting Stars,2022,16,8.4
#176,The Crowned Clown,2019,16,8.4
#177,Mad Dog,2017,16,8.4
#178,Birthcare Center,2020,8,8.4
#179,Nine: Nine Times Time Travel,2013,20,8.4
#180,Extraordinary You,2019,32,8.4
#181,Pinocchio,2014,20,8.4
#182,Doctor Prisoner,2019,32,8.4
#183,Love All Play,2022,16,8.4
#184,My Unfamiliar Family,2020,16,8.4
#185,Her Private Life,2019,16,8.4
#186,Age of Youth 2,2017,14,8.4
#187,Secret,2013,16,8.4
#188,Military Prosecutor Doberman,2022,16,8.4
#189,Pachinko,2022,8,8.4
#190,My Roommate Is a Gumiho,2021,16,8.4
#191,Yumi's Cells 2,2022,14,8.4
#192,My Country: The New Age,2019,16,8.4
#193,Sell Your Haunted House,2021,16,8.4
#194,Player,2018,14,8.4
#195,The Legend of the Blue Sea,2016,20,8.4
#196,Come and Hug Me,2018,32,8.4
#197,Partners for Justice,2018,32,8.4
#198,Seasons of Blossom,2022,16,8.4
#199,The Tale of Nokdu,2019,32,8.4
#200,Psychopath Diary,2019,16,8.4
#201,Knight Flower,2024,12,8.4
#202,The Beauty Inside,2018,16,8.4
#203,Tale of the Nine-Tailed,2020,16,8.4
#204,Love to Hate You,2023,10,8.4
#205,The Good Detective,2020,16,8.4
#206,See You in My 19th Life,2023,12,8.4
#207,He Is Psychometric,2019,16,8.4
#208,One Spring Night,2019,32,8.4
#209,Soundtrack #1,2022,4,8.4
#210,City Hunter,2011,20,8.4
#211,Class of Lies,2019,16,8.3
#212,100 Days My Prince,2018,16,8.3
#213,"At a Distance, Spring Is Green",2021,12,8.3
#214,Lie After Lie,2020,16,8.3
#215,The Sound of Magic,2022,6,8.3
#216,The Mysterious Class,2021,8,8.3
#217,Good Doctor,2013,20,8.3
#218,"It's Okay, That's Friendship",2021,1,8.3
#219,Rookie Cops,2022,16,8.3
#220,True Beauty,2020,16,8.3
#221,Oh My Ghost,2015,16,8.3
#222,God's Gift: 14 Days,2014,16,8.3
#223,The Sound of Your Heart,2016,20,8.3
#224,The Veil,2021,12,8.3
#225,Graceful Family,2019,16,8.3
#226,Gu Family Book,2013,24,8.3
#227,The Hymn of Death,2018,6,8.3
#228,Jumong,2006,81,8.3
#229,Vampire Prosecutor 2,2012,11,8.3
#230,Ugly Alert,2013,133,8.3
#231,Misty,2018,16,8.3
#232,Voice 3: City of Accomplices,2019,16,8.3
#233,Confession,2019,16,8.3
#234,Again My Life,2022,16,8.3
#235,Money Heist: Korea - Joint Economic Area - Part 1,2022,6,8.3
#236,Are You Human Too?,2018,36,8.3
#237,Run On,2020,16,8.3
#238,The Smile Has Left Your Eyes,2018,16,8.3
#239,Team Bulldog: Off-duty Investigation,2020,12,8.3
#240,The Guardians,2017,32,8.3
#241,Terius Behind Me,2018,32,8.3
#242,Hyena,2020,16,8.3
#243,Touch Your Heart,2019,16,8.3
#244,Angry Mom,2015,16,8.3
#245,Welcome 2 Life,2019,32,8.3
#246,Suspicious Partner,2017,40,8.3
#247,Mine,2021,16,8.3
#248,When the Weather Is Fine,2020,16,8.3
#249,Lawless Lawyer,2018,16,8.3
#250,Crazy Love,2022,16,8.3
#251,Buried Hearts,2025,16,8.3
#252,WATCHER,2019,16,8.3
#253,Five Enough,2016,54,8.3
#254,Amanza,2020,10,8.3
#255,Light on Me,2021,16,8.3
#256,Bulgasal: Immortal Souls,2021,16,8.3
#257,Liar Game,2014,12,8.3
#258,Tree With Deep Roots,2011,24,8.3
#259,49 Days,2011,20,8.3
#260,D-Day,2015,20,8.3
#261,Awaken,2020,16,8.3
#262,Oh My Venus,2015,16,8.3
#263,Leverage,2019,16,8.3
#264,The King's Affection,2021,20,8.3
#265,A Gentleman's Dignity,2012,20,8.3
#266,Rookie Historian Goo Hae Ryung,2019,40,8.3
#267,Coffee Prince,2007,17,8.3
#268,Ghost,2012,20,8.3
#269,Love Playlist: Season 4,2019,16,8.3
#270,God's Quiz: Reboot,2018,16,8.3
#271,My Dearest Nemesis,2025,12,8.3
#272,Missing Noir M,2015,10,8.3
#273,Live Up to Your Name,2017,16,8.3
#274,Queen for Seven Days,2017,20,8.3
#275,Memory,2016,16,8.3
#276,A Korean Odyssey,2017,20,8.3
#277,Voice 4: Judgment Hour,2021,14,8.3
#278,Wonderful World ,2024,14,8.3
#279,Divorce Attorney Shin,2023,12,8.3
#280,The Auditors,2024,12,8.3
#281,Call It Love,2023,16,8.3
#282,Crash Course in Romance,2023,16,8.3
#283,One Day Off ,2023,8,8.3
#284,My Sweet Mobster,2024,16,8.3
#285,Queenmaker,2023,11,8.3
#286,King the Land,2023,16,8.2
#287,Celebrity,2023,12,8.2
#288,Agency,2023,16,8.2
#289,Crash ,2024,12,8.1
#290,The Queen Who Crowns,2025,12,8.1
#291,Miss Night and Day,2024,16,8.1
#292,Our Blooming Youth,2023,20,8.1
#293,True to Love,2023,14,8.1
#294,Doctor Cha,2023,16,8.1
#295,The Secret Romantic Guesthouse ,2023,18,8.1
#296,Unmasked ,2025,12,8
#297,The Whirlwind ,2024,12,8
#298,The Midnight Studio,2024,16,8
#299,Blood Free,2024,10,8
#300,Missing Crown Prince,2024,20,8
#301,Brain Works,2023,16,8
#302,Captivating the King,2024,16,7.9
#303,For Eagle Brothers,2025,50,7.9
#304,Battle for Happiness ,2023,16,7.9
#305,Joseon Attorney: A Morality,2023,16,7.9
#306,Delightfully Deceitful,2023,16,7.8
#307,A Killer Paradox,2024,8,7.8
#308,Numbers ,2023,12,7.8
#309,Delivery Man,2023,12,7.8
#310,The Witch ,2025,10,7.7
#311,Payback: Money and Power,2023,12,7.7
#312,The Escape of the Seven: Resurrection ,2024,16,7.7
#313,Lies Hidden in My Garden,2023,8,7.7
#314,"Mi Na, Did You Change Your Profile Picture Again?",2024,7,7.7
#315,Stealer: The Treasure Keeper,2023,12,7.7
#316,Love Song for Illusion,2024,16,7.6
#317,The 8 Show,2024,8,7.6
#318,Oasis,2023,16,7.6
#319,The Midnight Romance in Hagwon,2024,16,7.6
#320,Branding in Seongsu,2024,24,7.6
#321,The Scandal of Chun Hwa,2025,10,7.6
#322,Pale Moon,2023,10,7.6
#323,Bitch X Rich,2023,10,7.5
#324,Su Ji & U Ri ,2024,128,7.5
#325,Family: The Unbreakable Bond ,2023,12,7.5
#326,Uncle Samsik,2024,16,7.5
#327,Hide ,2024,12,7.5
#328,The Heavenly Idol,2023,12,7.5
#329,Queen of Divorce,2024,12,7.4
#330,Newtopia ,2025,8,7.4
#331,Frankly Speaking,2024,12,7.4
#332,The Bequeathed ,2024,6,7.4
#333,Pandora: Beneath the Paradise ,2023,16,7.4
#334,Queen of Masks,2023,16,7.3
#335,Motel California,2025,12,7.3
#336,LTNS,2024,6,7.3
#337,The Real Has Come!,2023,50,7.3
#338,Kokdu: Season of Deity,2023,16,7.2
#339,Nothing Uncovered ,2024,16,7.2
#340,Beauty and Mr. Romantic,2024,50,7.2
#341,Kick Kick Kick Kick,2025,12,7.2
#342,Strangers Again,2023,12,7.2
#343,Race ,2023,12,7.2
#344,Dare to Love Me,2024,16,7.1
#345,Hierarchy,2024,7,6.9
#346,Oh! Youngsim ,2023,10,6.9
#347,DNA Lover,2024,16,6.9
#348,Our Love Triangle,2024,10,6.9
#349,The Brave Yong Su Jeong,2024,124,6.8
#350,Goodbye Earth,2024,12,6.4
